Apps, RT cases, Cores, Wallclock, Cores*Wallclock, Physics, NPX(Atm), NPY(Atm), Ntiles, nx_global(Ocn), ny_global(Ocn)
S2SWA-32BIT , cpld_control_p8_mixedmode_intel , 200 , 310 , 62116 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA-32BIT , cpld_control_p8_mixedmode_intel , 200 , 310 , 62116 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA-32BIT , cpld_control_gfsv17_intel , 200 , 218 , 43665 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA-32BIT , cpld_control_gfsv17_intel , 200 , 218 , 43665 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA , cpld_control_p8_intel , 200 , 338 , 67786 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA , cpld_control_p8_intel , 200 , 338 , 67786 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA , cpld_control_qr_p8_intel , 200 , 340 , 68000 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA , cpld_control_qr_p8_intel , 200 , 340 , 68000 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA , cpld_mpi_p8_intel , 280 , 284 , 79793 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA , cpld_mpi_p8_intel , 280 , 284 , 79793 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA , cpld_control_ciceC_p8_intel , 200 , 343 , 68621 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA , cpld_control_ciceC_p8_intel , 200 , 343 , 68621 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA , cpld_control_c192_p8_intel , 800 , 588 , 470400 , FV3_GFS_v17_coupled_p8 , 193 , 193 , 6 , 720 , 576
S2SWA , cpld_control_c192_p8_intel , 800 , 588 , 470400 , FV3_GFS_v17_coupled_p8 , 193 , 193 , 6
S2SWA , cpld_bmark_p8_intel , 1320 , 662 , 874650 , FV3_GFS_v17_coupled_p8 , 385 , 385 , 6 , 1440 , 1080
S2SWA , cpld_bmark_p8_intel , 1320 , 662 , 874650 , FV3_GFS_v17_coupled_p8 , 385 , 385 , 6
S2SWA , cpld_control_p8_faster_intel , 200 , 319 , 63859 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA , cpld_control_p8_faster_intel , 200 , 319 , 63859 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA , cpld_control_p8_gnu , 200 , 1725 , 345178 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA , cpld_control_p8_gnu , 200 , 1725 , 345178 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SW , cpld_control_noaero_p8_intel , 200 , 264 , 52852 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SW , cpld_control_noaero_p8_intel , 200 , 264 , 52852 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SW , cpld_control_nowave_noaero_p8_intel , 200 , 258 , 51766 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SW , cpld_control_nowave_noaero_p8_intel , 200 , 258 , 51766 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA-DEBUG , cpld_debug_p8_intel , 200 , 520 , 104089 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA-DEBUG , cpld_debug_p8_intel , 200 , 520 , 104089 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SWA-DEBUG , cpld_debug_p8_gnu , 200 , 967 , 193520 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SWA-DEBUG , cpld_debug_p8_gnu , 200 , 967 , 193520 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2SW-DEBUG , cpld_debug_noaero_p8_intel , 200 , 344 , 68874 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2SW-DEBUG , cpld_debug_noaero_p8_intel , 200 , 344 , 68874 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
S2S , cpld_control_noaero_p8_agrid_intel , 200 , 264 , 52805 , FV3_GFS_v17_coupled_p8_sfcocn , 97 , 97 , 6 , 360 , 320
S2S , cpld_control_noaero_p8_agrid_intel , 200 , 264 , 52805 , FV3_GFS_v17_coupled_p8_sfcocn , 97 , 97 , 6
S2S , cpld_control_c48_intel , 20 , 319 , 6385 , FV3_GFS_v17_coupled_p8 , 49 , 49 , 6 , 72 , 35
S2S , cpld_control_c48_intel , 20 , 319 , 6385 , FV3_GFS_v17_coupled_p8 , 49 , 49 , 6
S2S , cpld_control_nowave_noaero_p8_gnu , 200 , 1226 , 245271 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6 , 360 , 320
S2S , cpld_control_nowave_noaero_p8_gnu , 200 , 1226 , 245271 , FV3_GFS_v17_coupled_p8 , 97 , 97 , 6
ATM-32BIT , control_flake_intel , 160 , 185 , 29752 , FV3_GFS_v16_flake , 97 , 97 , 6
ATM-32BIT , control_CubedSphereGrid_intel , 160 , 137 , 22025 , FV3_GFS_v16 , 97 , 97 , 6
ATM-32BIT , control_CubedSphereGrid_parallel_intel , 160 , 138 , 22229 , FV3_GFS_v16 , 97 , 97 , 6
ATM-32BIT , control_latlon_intel , 160 , 135 , 21697 , FV3_GFS_v16 , 97 , 97 , 6
ATM-32BIT , control_wrtGauss_netcdf_parallel_intel , 160 , 135 , 21604 , FV3_GFS_v16 , 97 , 97 , 6
ATM-32BIT , control_c48_intel , 8 , 522 , 4182 , FV3_GFS_v16 , 49 , 49 , 6
ATM-32BIT , control_c192_intel , 240 , 522 , 125480 , FV3_GFS_v16 , 193 , 193 , 6
ATM-32BIT , control_c384_intel , 680 , 519 , 353343 , FV3_GFS_v16 , 385 , 385 , 6
